Fecha;Entradas TINA;Salidas CAJA;TINA procesada;Stock entrada;Merma;Balance T-C;Stock inventario
02/03/2026;30889,72;15743,19;13278,00;17611,72;-2465,19;15146,54;460522,47
03/03/2026;21629,32;13337,90;12753,00;8876,32;-584,90;8291,42;469398,80
04/03/2026;24597,80;15568,29;19609,00;4988,80;4040,71;9029,51;474387,59
05/03/2026;32187,93;27964,27;27582,00;4605,93;-382,27;4223,66;478993,52
06/03/2026;24424,34;26776,17;13429,00;10995,34;-13347,17;-2351,84;489988,86
09/03/2026;26373,11;15348,12;10394,00;15979,11;-4954,12;11024,99;505967,96
10/03/2026;25238,34;12780,35;13990,00;11248,34;1209,65;12457,99;517216,30
11/03/2026;23134,62;16328,29;22004,00;1130,62;5675,71;6806,33;518346,92
12/03/2026;34773,66;30844,37;27145,00;7628,66;-3699,37;3929,29;525975,58
13/03/2026;16089,15;27912,74;12647,00;3442,15;-15265,74;-11823,59;529417,73
16/03/2026;34023,64;13874,41;22319,00;11704,64;8444,59;20149,23;541122,37
17/03/2026;42962,55;22247,07;22190,00;20772,55;-57,07;20715,48;561894,93
18/03/2026;25880,55;34791,83;18655,00;7225,55;-16136,83;-8911,28;569120,47
19/03/2026;15943,68;16552,51;13654,00;2289,68;-2898,51;-608,83;571410,15
20/03/2026;22665,94;17455,13;14992,00;7673,94;-2463,13;5210,81;579084,09
23/03/2026;34764,61;17251,32;17864,00;16900,61;612,68;17513,29;595984,70
24/03/2026;47194,00;16914,55;22360,00;24834,00;5445,45;30279,45;620818,70
25/03/2026;45887,22;28166,56;23682,00;22205,22;-4484,56;17720,65;643023,92
26/03/2026;44332,88;32124,06;33228,00;11104,88;1103,94;12208,82;654128,80
27/03/2026;30068,07;31654,14;20949,00;9119,07;-10705,14;-1586,07;663247,87
30/03/2026;37860,19;34405,48;28490,00;9370,19;-5915,48;3454,71;672618,06
31/03/2026;24160,27;24928,02;18405,00;5755,27;-6523,02;-767,75;678373,33
TOTAL;665081,58;492968,78;429619,00;235462,58;-63349,78;172112,80;678373,33
