RESUMEN ARRASTRE MENSUAL
Concepto;Valor
Mes ancla;01/01/2026
Stock ancla (kg);0,00
Cierre 01/01/2026;192839,04
  Apertura 01/01/2026;0,00
  Entradas TINA;571996,04
  TINA procesada;379157,00
  Salidas CAJA;446162,12
Cierre 01/02/2026;442910,75
  Apertura 01/02/2026;192839,04
  Entradas TINA;610984,71
  TINA procesada;360913,00
  Salidas CAJA;421908,79
Stock inicial marzo (arrastre);442910,75
Tinas arrastradas feb->mar (packs);43
Tinas arrastradas feb->mar (kg);11715,00
Stock cierre teorico marzo;678373,33
Merma negocio marzo;-506260,53

DETALLE DIARIO
Fecha;Entradas TINA (kg);Salidas CAJA (kg);Stock TINA rtype (kg);Merma TINA rtype (kg);Balance TINA-CAJA (kg);TINA procesada (kg);Stock inventario encadenado (kg)
02/03/2026;30889,72;15743,19;17611,72;13278,00;15146,54;13278,00;460522,47
03/03/2026;21629,32;13337,90;8876,32;12753,00;8291,42;12753,00;469398,80
04/03/2026;24597,80;15568,29;4988,80;19609,00;9029,51;19609,00;474387,59
05/03/2026;32187,93;27964,27;4605,93;27582,00;4223,66;27582,00;478993,52
06/03/2026;24424,34;26776,17;10995,34;13429,00;-2351,84;13429,00;489988,86
09/03/2026;26373,11;15348,12;15979,11;10394,00;11024,99;10394,00;505967,96
10/03/2026;25238,34;12780,35;11248,34;13990,00;12457,99;13990,00;517216,30
11/03/2026;23134,62;16328,29;1130,62;22004,00;6806,33;22004,00;518346,92
12/03/2026;34773,66;30844,37;7628,66;27145,00;3929,29;27145,00;525975,58
13/03/2026;16089,15;27912,74;3442,15;12647,00;-11823,59;12647,00;529417,73
16/03/2026;34023,64;13874,41;11704,64;22319,00;20149,23;22319,00;541122,37
17/03/2026;42962,55;22247,07;20772,55;22190,00;20715,48;22190,00;561894,93
18/03/2026;25880,55;34791,83;7225,55;18655,00;-8911,28;18655,00;569120,47
19/03/2026;15943,68;16552,51;2289,68;13654,00;-608,83;13654,00;571410,15
20/03/2026;22665,94;17455,13;7673,94;14992,00;5210,81;14992,00;579084,09
23/03/2026;34764,61;17251,32;16900,61;17864,00;17513,29;17864,00;595984,70
24/03/2026;47194,00;16914,55;24834,00;22360,00;30279,45;22360,00;620818,70
25/03/2026;45887,22;28166,56;22205,22;23682,00;17720,65;23682,00;643023,92
26/03/2026;44332,88;32124,06;11104,88;33228,00;12208,82;33228,00;654128,80
27/03/2026;30068,07;31654,14;9119,07;20949,00;-1586,07;20949,00;663247,87
30/03/2026;37860,19;34405,48;9370,19;28490,00;3454,71;28490,00;672618,06
31/03/2026;24160,27;24928,02;5755,27;18405,00;-767,75;18405,00;678373,33
TOTAL;665081,58;492968,78;235462,58;429619,00;172112,80;429619,00;678373,33
